Source,Target
1680,1446
1680,1988
1680,266
1680,1076
1446,1988
1446,266
1446,1076
1988,266
1988,1076
266,1076
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1732,1116
1732,28
1732,920
1732,1608
1732,2009
1732,2010
1116,28
1116,920
1116,1608
1116,2009
1116,2010
28,920
28,1608
28,2009
28,2010
920,1608
920,2009
920,2010
1608,2009
1608,2010
2009,2010
1326,1530
1326,1528
1326,116
1326,1009
1326,2011
1530,1528
1530,116
1530,1009
1530,2011
1528,116
1528,1009
1528,2011
116,1009
116,2011
1009,2011
1680,1446
1680,1988
1680,266
1680,1076
1446,1988
1446,266
1446,1076
1988,266
1988,1076
266,1076
1326,1530
1326,1528
1326,116
1326,1009
1326,2011
1530,1528
1530,116
1530,1009
1530,2011
1528,116
1528,1009
1528,2011
116,1009
116,2011
1009,2011
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
1656,1552
1656,783
1656,1268
1656,449
1656,2013
1552,783
1552,1268
1552,449
1552,2013
783,1268
783,449
783,2013
1268,449
1268,2013
449,2013
138,176
138,432
138,1981
138,369
138,2014
176,432
176,1981
176,369
176,2014
432,1981
432,369
432,2014
1981,369
1981,2014
369,2014
224,1152
224,435
224,535
224,59
224,2015
224,2016
1152,435
1152,535
1152,59
1152,2015
1152,2016
435,535
435,59
435,2015
435,2016
535,59
535,2015
535,2016
59,2015
59,2016
2015,2016
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
138,176
138,432
138,1981
138,369
138,2014
176,432
176,1981
176,369
176,2014
432,1981
432,369
432,2014
1981,369
1981,2014
369,2014
1326,1530
1326,1528
1326,116
1326,1009
1326,2011
1530,1528
1530,116
1530,1009
1530,2011
1528,116
1528,1009
1528,2011
116,1009
116,2011
1009,2011
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1732,1116
1732,28
1732,920
1732,1608
1732,2009
1732,2010
1116,28
1116,920
1116,1608
1116,2009
1116,2010
28,920
28,1608
28,2009
28,2010
920,1608
920,2009
920,2010
1608,2009
1608,2010
2009,2010
138,176
138,432
138,1981
138,369
138,2014
176,432
176,1981
176,369
176,2014
432,1981
432,369
432,2014
1981,369
1981,2014
369,2014
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1656,1552
1656,783
1656,1268
1656,449
1656,2013
1552,783
1552,1268
1552,449
1552,2013
783,1268
783,449
783,2013
1268,449
1268,2013
449,2013
224,1152
224,435
224,535
224,59
224,2015
224,2016
1152,435
1152,535
1152,59
1152,2015
1152,2016
435,535
435,59
435,2015
435,2016
535,59
535,2015
535,2016
59,2015
59,2016
2015,2016
1680,1446
1680,1988
1680,266
1680,1076
1446,1988
1446,266
1446,1076
1988,266
1988,1076
266,1076
224,1152
224,435
224,535
224,59
224,2015
224,2016
1152,435
1152,535
1152,59
1152,2015
1152,2016
435,535
435,59
435,2015
435,2016
535,59
535,2015
535,2016
59,2015
59,2016
2015,2016
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1680,1446
1680,1988
1680,266
1680,1076
1446,1988
1446,266
1446,1076
1988,266
1988,1076
266,1076
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
1680,1446
1680,1988
1680,266
1680,1076
1446,1988
1446,266
1446,1076
1988,266
1988,1076
266,1076
1326,1530
1326,1528
1326,116
1326,1009
1326,2011
1530,1528
1530,116
1530,1009
1530,2011
1528,116
1528,1009
1528,2011
116,1009
116,2011
1009,2011
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
2017,558
2017,186
2017,382
2017,811
2017,2018
558,186
558,382
558,811
558,2018
186,382
186,811
186,2018
382,811
382,2018
811,2018
1003,1545
1003,939
1003,1518
1003,1794
1003,2019
1003,2020
1545,939
1545,1518
1545,1794
1545,2019
1545,2020
939,1518
939,1794
939,2019
939,2020
1518,1794
1518,2019
1518,2020
1794,2019
1794,2020
2019,2020
224,1152
224,435
224,535
224,59
224,2015
1152,435
1152,535
1152,59
1152,2015
435,535
435,59
435,2015
535,59
535,2015
59,2015
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
2017,558
2017,186
2017,382
2017,811
2017,2018
558,186
558,382
558,811
558,2018
186,382
186,811
186,2018
382,811
382,2018
811,2018
224,1152
224,435
224,535
224,59
224,2015
1152,435
1152,535
1152,59
1152,2015
435,535
435,59
435,2015
535,59
535,2015
59,2015
1732,1116
1732,28
1732,920
1732,1608
1732,2010
1116,28
1116,920
1116,1608
1116,2010
28,920
28,1608
28,2010
920,1608
920,2010
1608,2010
1680,1446
1680,1988
1680,266
1680,1076
1680,2021
1680,2022
1446,1988
1446,266
1446,1076
1446,2021
1446,2022
1988,266
1988,1076
1988,2021
1988,2022
266,1076
266,2021
266,2022
1076,2021
1076,2022
2021,2022
138,176
138,432
138,1981
138,369
138,2014
176,432
176,1981
176,369
176,2014
432,1981
432,369
432,2014
1981,369
1981,2014
369,2014
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
1680,1446
1680,1988
1680,266
1680,1076
1680,2021
1680,2022
1446,1988
1446,266
1446,1076
1446,2021
1446,2022
1988,266
1988,1076
1988,2021
1988,2022
266,1076
266,2021
266,2022
1076,2021
1076,2022
2021,2022
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
2017,558
2017,186
2017,382
2017,811
2017,2018
558,186
558,382
558,811
558,2018
186,382
186,811
186,2018
382,811
382,2018
811,2018
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
1003,1545
1003,939
1003,1518
1003,1794
1003,2019
1003,2020
1545,939
1545,1518
1545,1794
1545,2019
1545,2020
939,1518
939,1794
939,2019
939,2020
1518,1794
1518,2019
1518,2020
1794,2019
1794,2020
2019,2020
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1680,1446
1680,1988
1680,266
1680,1076
1680,2021
1680,2022
1446,1988
1446,266
1446,1076
1446,2021
1446,2022
1988,266
1988,1076
1988,2021
1988,2022
266,1076
266,2021
266,2022
1076,2021
1076,2022
2021,2022
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
1732,1116
1732,28
1732,920
1732,1608
1732,2010
1116,28
1116,920
1116,1608
1116,2010
28,920
28,1608
28,2010
920,1608
920,2010
1608,2010
138,176
138,432
138,1981
138,369
138,2014
176,432
176,1981
176,369
176,2014
432,1981
432,369
432,2014
1981,369
1981,2014
369,2014
224,1152
224,435
224,535
224,59
224,2015
1152,435
1152,535
1152,59
1152,2015
435,535
435,59
435,2015
535,59
535,2015
59,2015
1732,1116
1732,28
1732,920
1732,1608
1732,2010
1116,28
1116,920
1116,1608
1116,2010
28,920
28,1608
28,2010
920,1608
920,2010
1608,2010
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
224,1152
224,435
224,535
224,59
224,2015
1152,435
1152,535
1152,59
1152,2015
435,535
435,59
435,2015
535,59
535,2015
59,2015
607,1854
607,357
607,1944
607,1088
607,2012
1854,357
1854,1944
1854,1088
1854,2012
357,1944
357,1088
357,2012
1944,1088
1944,2012
1088,2012
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
2017,558
2017,186
2017,382
2017,811
2017,2018
558,186
558,382
558,811
558,2018
186,382
186,811
186,2018
382,811
382,2018
811,2018
81,1578
81,2006
81,1715
81,104
81,2008
1578,2006
1578,1715
1578,104
1578,2008
2006,1715
2006,104
2006,2008
1715,104
1715,2008
104,2008
696,1018
696,311
696,1276
696,1995
696,2023
696,2024
1018,311
1018,1276
1018,1995
1018,2023
1018,2024
311,1276
311,1995
311,2023
311,2024
1276,1995
1276,2023
1276,2024
1995,2023
1995,2024
2023,2024
670,1799
670,174
670,516
670,544
670,2025
670,1352
1799,174
1799,516
1799,544
1799,2025
1799,1352
174,516
174,544
174,2025
174,1352
516,544
516,2025
516,1352
544,2025
544,1352
2025,1352
310,799
310,1183
310,1213
310,1901
310,2026
799,1183
799,1213
799,1901
799,2026
1183,1213
1183,1901
1183,2026
1213,1901
1213,2026
1901,2026
1459,1737
1459,1111
1459,92
1459,762
1737,1111
1737,92
1737,762
1111,92
1111,762
92,762
696,1018
696,311
696,1276
696,1995
696,2023
696,2024
1018,311
1018,1276
1018,1995
1018,2023
1018,2024
311,1276
311,1995
311,2023
311,2024
1276,1995
1276,2023
1276,2024
1995,2023
1995,2024
2023,2024
1459,1737
1459,1111
1459,92
1459,762
1737,1111
1737,92
1737,762
1111,92
1111,762
92,762
1112,1246
1112,1491
1112,1391
1112,119
1112,2027
1246,1491
1246,1391
1246,119
1246,2027
1491,1391
1491,119
1491,2027
1391,119
1391,2027
119,2027
1731,542
1731,555
1731,980
1731,64
1731,2028
542,555
542,980
542,64
542,2028
555,980
555,64
555,2028
980,64
980,2028
64,2028
434,1124
434,209
434,1929
434,837
434,2029
1124,209
1124,1929
1124,837
1124,2029
209,1929
209,837
209,2029
1929,837
1929,2029
837,2029
931,1047
931,1261
931,1720
931,1951
1047,1261
1047,1720
1047,1951
1261,1720
1261,1951
1720,1951
1112,1246
1112,1491
1112,1391
1112,119
1112,2027
1246,1491
1246,1391
1246,119
1246,2027
1491,1391
1491,119
1491,2027
1391,119
1391,2027
119,2027
434,1124
434,209
434,1929
434,837
434,2029
1124,209
1124,1929
1124,837
1124,2029
209,1929
209,837
209,2029
1929,837
1929,2029
837,2029
696,1018
696,311
696,1276
696,1995
696,2023
696,2024
1018,311
1018,1276
1018,1995
1018,2023
1018,2024
311,1276
